,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len
4,"frozenset({'KEANDALAN DAN KUALITAS PROSES BU AULIA', 'TF 141363 FISIKA BANGUNAN'})",frozenset({'TF 141361 METODOLOGI PENELITIAN (BU AULIA)'}),0.006613756613756613,0.010582010582010581,0.003968253968253968,0.6,56.7,0.003898267125780353,2.4735449735449735,2
5,"frozenset({'KEANDALAN DAN KUALITAS PROSES BU AULIA', 'TF 141361 METODOLOGI PENELITIAN (BU AULIA)'})",frozenset({'TF 141363 FISIKA BANGUNAN'}),0.003968253968253968,0.056878306878306875,0.003968253968253968,1.0,17.58139534883721,0.00374254640127656,inf,2
6,"frozenset({'TF 141363 FISIKA BANGUNAN', 'TF 141361 METODOLOGI PENELITIAN (BU AULIA)'})",frozenset({'KEANDALAN DAN KUALITAS PROSES BU AULIA'}),0.007936507936507936,0.009259259259259259,0.003968253968253968,0.5,54.0,0.0038947677836566725,1.9814814814814814,2
