,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len
2,"frozenset({'TF 141232 STATISTIK DAN STOKASTIK', 'TF 141241 MATEMATIKA REKAYASA II KELAS BU AULIA'})",frozenset({'TF 141231 MATEMATIKA REKAYASA I'}),0.01808785529715762,0.2248062015503876,0.015503875968992248,0.8571428571428572,3.812807881773399,0.011437613925445185,5.426356589147289,2
3,"frozenset({'TF 141231 MATEMATIKA REKAYASA I', 'TF 141241 MATEMATIKA REKAYASA II KELAS BU AULIA'})",frozenset({'TF 141232 STATISTIK DAN STOKASTIK'}),0.01808785529715762,0.21705426356589147,0.015503875968992248,0.8571428571428572,3.948979591836735,0.011577829857981291,5.480620155038762,2
5,"frozenset({'TF 141331 AKUSTIK', 'TF 141232 STATISTIK DAN STOKASTIK'})",frozenset({'TF 141231 MATEMATIKA REKAYASA I'}),0.025839793281653745,0.2248062015503876,0.020671834625323,0.8,3.5586206896551724,0.014862888848827194,3.875968992248063,2
