,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len
4,"frozenset({'TF 141222 FISIKA REKAYASA II KELAS BU AULIA', 'TF 141241 MATEMATIKA REKAYASA II KELAS BU AULIA'})",frozenset({'KALKULUS II'}),0.0038314176245210726,0.019157088122605363,0.0038314176245210726,1.0,52.2,0.0037580188194536192,inf,2
5,"frozenset({'KALKULUS II', 'TF 141241 MATEMATIKA REKAYASA II KELAS BU AULIA'})",frozenset({'TF 141222 FISIKA REKAYASA II KELAS BU AULIA'}),0.0038314176245210726,0.007662835249042145,0.0038314176245210726,1.0,130.5,0.003802058102494091,inf,2
